station,valid,tmpc,dwpc,relh,drct,sknt,vsby
SBGR,2019-06-01 00:00,24.00,16.00,60.90,290.00,5.00,6.21
SBGR,2019-06-01 01:00,22.00,17.00,73.27,230.00,3.00,6.21
SBGR,2019-06-01 01:05,22.00,18.00,78.04,230.00,10.00,6.21
SBGR,2019-06-01 02:00,19.00,19.00,100.00,230.00,2.00,4.35
SBGR,2019-06-01 02:28,19.00,19.00,100.00,0.00,0.00,6.21
SBGR,2019-06-01 03:00,19.00,19.00,100.00,360.00,6.00,6.21
SBGR,2019-06-01 04:00,19.00,19.00,100.00,0.00,0.00,6.21
SBGR,2019-06-01 05:00,18.00,18.00,100.00,0.00,0.00,6.21
SBGR,2019-06-01 06:00,19.00,19.00,100.00,0.00,0.00,6.21
SBGR,2019-06-01 07:00,19.00,19.00,100.00,0.00,0.00,6.21
SBGR,2019-06-01 08:00,19.00,19.00,100.00,0.00,0.00,6.21
SBGR,2019-06-01 08:25,18.00,18.00,100.00,130.00,2.00,5.59
SBGR,2019-06-01 09:00,18.00,18.00,100.00,0.00,0.00,6.21
SBGR,2019-06-01 10:00,19.00,19.00,100.00,40.00,4.00,6.21
SBGR,2019-06-01 11:00,19.00,19.00,100.00,180.00,2.00,6.21
SBGR,2019-06-01 12:00,21.00,20.00,94.01,40.00,5.00,6.21
SBGR,2019-06-01 13:00,23.00,18.00,73.44,30.00,4.00,6.21
SBGR,2019-06-01 14:00,24.00,18.00,69.14,350.00,4.00,6.21
SBGR,2019-06-01 15:00,25.00,19.00,69.33,320.00,3.00,6.21
SBGR,2019-06-01 16:00,25.00,18.00,65.12,310.00,7.00,6.21
SBGR,2019-06-01 17:00,26.00,18.00,61.36,280.00,12.00,6.21
SBGR,2019-06-01 18:00,24.00,18.00,69.14,260.00,9.00,6.21
SBGR,2019-06-01 19:00,23.00,18.00,73.44,270.00,7.00,6.21
SBGR,2019-06-01 20:00,23.00,18.00,73.44,270.00,4.00,6.21
SBGR,2019-06-01 21:00,22.00,18.00,78.04,230.00,2.00,6.21
SBGR,2019-06-01 22:00,20.00,18.00,88.26,280.00,2.00,6.21
SBGR,2019-06-01 23:00,20.00,18.00,88.26,0.00,0.00,6.21
SBGR,2019-06-02 00:00,18.00,18.00,100.00,80.00,1.00,6.21
SBGR,2019-06-02 01:00,18.00,18.00,100.00,0.00,0.00,6.21
SBGR,2019-06-02 02:00,18.00,18.00,100.00,0.00,0.00,6.21
SBGR,2019-06-02 03:00,18.00,18.00,100.00,100.00,2.00,6.21
SBGR,2019-06-02 04:00,17.00,17.00,100.00,160.00,1.00,6.21
SBGR,2019-06-02 05:00,18.00,18.00,100.00,90.00,4.00,1.86
SBGR,2019-06-02 05:13,18.00,18.00,100.00,170.00,2.00,0.50
SBGR,2019-06-02 06:00,18.00,18.00,100.00,0.00,0.00,0.56
SBGR,2019-06-02 06:20,19.00,19.00,100.00,150.00,2.00,2.17
SBGR,2019-06-02 07:00,18.00,18.00,100.00,110.00,3.00,3.11
SBGR,2019-06-02 08:00,19.00,19.00,100.00,120.00,3.00,2.49
SBGR,2019-06-02 09:00,19.00,19.00,100.00,110.00,3.00,3.73
SBGR,2019-06-02 09:30,18.00,18.00,100.00,230.00,9.00,0.62
SBGR,2019-06-02 10:00,17.00,17.00,100.00,140.00,2.00,2.17
SBGR,2019-06-02 10:30,18.00,18.00,100.00,50.00,3.00,4.97
SBGR,2019-06-02 11:00,18.00,18.00,100.00,40.00,5.00,5.59
SBGR,2019-06-02 11:45,18.00,18.00,100.00,260.00,3.00,1.55
SBGR,2019-06-02 12:00,18.00,18.00,100.00,240.00,4.00,1.86
